prompt,label

I am reserving for 27 November at 07:16 with a compact.,November-27--07:16-compact

I am reserving for 15 October at 18:07 with a class 2 truck.,October-15--18:07-class 2 truck

I am reserving for 01 November at 13:16 with a full-size.,November-01--13:16-full-size

I am reserving for 23 November at 09:21 with a full-size.,November-23--09:21-full-size

I am reserving for 23 November at 16:22 with a medium.,November-23--16:22-medium

I am reserving for 07 November at 07:54 with a class 1 truck.,November-07--07:54-class 1 truck

I am reserving for 22 October at 18:30 with a class 2 truck.,October-22--18:30-class 2 truck

I am reserving for 24 November at 07:48 with a full-size.,November-24--07:48-full-size

I am reserving for 24 November at 07:01 with a class 1 truck.,November-24--07:01-class 1 truck

I am reserving for 04 October at 07:28 with a full-size.,October-04--07:28-full-size

I am reserving for 24 October at 07:07 with a class 1 truck.,October-24--07:07-class 1 truck

I am reserving for 26 October at 18:27 with a class 2 truck.,October-26--18:27-class 2 truck

I am reserving for 24 October at 07:55 with a class 1 truck.,October-24--07:55-class 1 truck

I am reserving for 24 October at 07:26 with a class 2 truck.,October-24--07:26-class 2 truck

I am reserving for 06 October at 18:14 with a full-size.,October-06--18:14-full-size

I am reserving for 30 November at 14:29 with a class 2 truck.,November-30--14:29-class 2 truck

I am reserving for 30 November at 15:00 with a class 2 truck.,November-30--15:00-class 2 truck

I am reserving for 23 November at 09:08 with a medium.,November-23--09:08-medium

I am reserving for 11 October at 09:11 with a medium.,October-11--09:11-medium

I am reserving for 13 November at 07:21 with a medium.,November-13--07:21-medium

I am reserving for 24 November at 15:02 with a full-size.,November-24--15:02-full-size

I am reserving for 25 October at 12:25 with a class 2 truck.,October-25--12:25-class 2 truck

I am reserving for 23 November at 11:02 with a full-size.,November-23--11:02-full-size

I am reserving for 04 November at 08:09 with a full-size.,November-04--08:09-full-size

I am reserving for 26 October at 17:57 with a compact.,October-26--17:57-compact

I am reserving for 09 November at 07:51 with a full-size.,November-09--07:51-full-size

I am reserving for 15 October at 18:30 with a medium.,October-15--18:30-medium

I am reserving for 07 October at 14:51 with a class 1 truck.,October-07--14:51-class 1 truck

I am reserving for 27 October at 18:30 with a compact.,October-27--18:30-compact

I am reserving for 07 November at 08:48 with a compact.,November-07--08:48-compact

I am reserving for 01 November at 18:24 with a medium.,November-01--18:24-medium

I am reserving for 29 November at 18:30 with a class 1 truck.,November-29--18:30-class 1 truck

I am reserving for 16 November at 07:02 with a compact.,November-16--07:02-compact

I am reserving for 30 November at 08:55 with a full-size.,November-30--08:55-full-size

I am reserving for 27 November at 09:53 with a class 1 truck.,November-27--09:53-class 1 truck

I am reserving for 05 November at 07:43 with a compact.,November-05--07:43-compact

I am reserving for 31 October at 08:47 with a compact.,October-31--08:47-compact

I am reserving for 18 November at 07:04 with a compact.,November-18--07:04-compact

I am reserving for 23 November at 07:00 with a class 1 truck.,November-23--07:00-class 1 truck

I am reserving for 02 November at 18:14 with a full-size.,November-02--18:14-full-size

I am reserving for 12 November at 09:11 with a class 2 truck.,November-12--09:11-class 2 truck

I am reserving for 03 November at 14:40 with a compact.,November-03--14:40-compact

I am reserving for 09 November at 11:18 with a class 1 truck.,November-09--11:18-class 1 truck

I am reserving for 17 October at 07:45 with a class 1 truck.,October-17--07:45-class 1 truck

I am reserving for 03 November at 07:30 with a full-size.,November-03--07:30-full-size

I am reserving for 28 October at 15:55 with a class 1 truck.,October-28--15:55-class 1 truck

I am reserving for 01 October at 18:30 with a class 1 truck.,October-01--18:30-class 1 truck

I am reserving for 28 November at 07:42 with a full-size.,November-28--07:42-full-size

I am reserving for 30 November at 12:12 with a medium.,November-30--12:12-medium

I am reserving for 20 November at 13:46 with a full-size.,November-20--13:46-full-size

I am reserving for 22 November at 13:34 with a class 1 truck.,November-22--13:34-class 1 truck

I am reserving for 26 November at 07:55 with a full-size.,November-26--07:55-full-size

I am reserving for 13 October at 07:37 with a class 1 truck.,October-13--07:37-class 1 truck

I am reserving for 10 November at 07:10 with a class 2 truck.,November-10--07:10-class 2 truck

I am reserving for 16 October at 18:30 with a full-size.,October-16--18:30-full-size

I am reserving for 08 October at 07:15 with a class 2 truck.,October-08--07:15-class 2 truck

I am reserving for 23 November at 13:12 with a class 1 truck.,November-23--13:12-class 1 truck

I am reserving for 27 October at 07:46 with a medium.,October-27--07:46-medium

I am reserving for 21 October at 07:31 with a medium.,October-21--07:31-medium

I am reserving for 11 October at 18:05 with a class 1 truck.,October-11--18:05-class 1 truck

I am reserving for 15 November at 08:57 with a compact.,November-15--08:57-compact

