data,labels
"I am reserving. Could you let me know the estimated price for my booking and if you have class 2 truck available?I would like to change my tires on October 15th.  Please let me know if this date is available for reservation. 

This should answer all your questions and I look forward to hearing from you soon!I would like to reserve for October 15th at 7:07 PM. 

Please let me know if this time slot is available for reservation. I appreciate your help!I need a class 2 truck if you have one available on that day. 

I look forward to hearing from you!",October-15--18:07-class 2 truck
"I am reserving 23 November at 09:21 for a full-size rental. 

I am wondering if you provide tire changing services for the vehicles that you offer? I would also like some more information about the vehicle such as any extra charges and if it is insured for harsh driving conditions.I would like to reserve a vehicle on November 16th. Could you provide options for half-day rentals? I only need the vehicle for a few hours to do some errands around the city while managing a moving truck. My plans have changed since I originally inquired so this would suit my needs best. 

I would need to leave from and return to your location during this short timeframe. Please provide further details so I can proceed with booking promptly. Thank you!Let's go with the half-day reservation on November 16th at 7:30 AM. I appreciate you offering flexible options for my situation so I am hopeful that this earlier time will suffice just as well! 

Please provide further details for securing the reservation for this shortlisted option. I look forward to hearing from you!I would prefer a full-size class 2 truck on November 16th at 7:30 AM. I am intending to use the vehicle for errands and moving-related purposes but I require a larger vehicle to haul my items effectively. I appreciate your help and attention to getting me the most suitable product based on my needs!",November-23--09:21-full-size
I am reserving a class 1 truck.I want to book my reservation for November 7th.I would like to book at 7:54AM.I will be renting a class 1 truck.,November-07--07:54-class 1 truck
I am reserving please.I would like to change my tires on November 16th 2024.I would like to reserve at 5PM please.I have a full-size car.,November-24--07:48-full-size
"I am reserving 04 October at 07:28 for a full-size.

Please provide further details about the reservation or if I can help with any other questions pertaining to rentals.I would like to change my tires on October 14th.  Please let me know what time slots are available if I want to make an appointment.I would like to reserve for October 14th at 08:00 AM. 
Please let me know if there are availability issues with my chosen date and time or if you require any other information to complete the reservation for my tire change.I have a compact car. 
Please let me know if there are any concerns with my choice of vehicle type for the tire change service on my reserved date and time.",October-04--07:28-full-size
"I am reserving. Could you let me know the next steps to rent the truck?I would like to change to October 15th at 11:45 AM. Could you please let me know if this date is available?Let's go with 11:45 AM. Could you please confirm the reservation for me? I will be arriving in a class 2 truck.I will be arriving in a class 2 truck. 

Please provide me with any additional information I would need to confirm this reservation.",October-26--18:27-class 2 truck
"I am reserving. Could you let me know the estimated price for a tire change for a class 2 truck? 
 Thanks!I would like to book the service for October 24th 2024. Could you let me know the availability and how long does it take? Thank you!Booking for 07:26 is perfect thank you!

Could you please let me know the cost and the process to finalize the reservation?
Thanks!I have a class 2 truck. Regarding the process and cost do you provide service only or both repair and maintenance? I am asking to have the tire change done along with maintenance if you provide it so I can plan my day accordingly. 
 Thank you!",October-24--07:26-class 2 truck
"I am reserving. Could you let me know if I can change tires on both axles in this booking? Thank you.I would like to change the tires on October 20th.Is 8AM suitable for a tire change? 

Please let me know if there is anything else I need to add to my reservation.I have a class 2 truck. 

Please let me know the cost of the labor and approximately how long it would take to change the tires on both axles.",November-30--14:29-class 2 truck
I am reserving a medium class vehicle.I would like to come on November 23rd.I would like to reserve at 9:08 AM.I would like to reserve a medium sized vehicle.,November-23--09:08-medium
I am reserving 13 November at 07:21 for a medium tire change.I would like to change my tires on November 20th.I would like to reserve for the time slot of 11AM-12PM.I have a compact car.,November-13--07:21-medium
